R&D Spend,Administration,Marketing Spend,State,Profit,PCA1,PCA2,Cluster,Profit_Level
165349.30000000002,136897.9,471784.2,New York,192261.93,2.9838140856240414,-0.10546757864800398,0,High
169455.86687502504,135951.49537623485,487062.6609398503,New York,201046.54978921887,3.125941677781931,-0.17391403447089904,0,High
163413.44516984295,135295.25711406334,509036.5827396952,New York,196688.38446527897,3.1489148345342377,-0.25760657070148996,0,High
161467.9369458863,140611.66652954134,460852.5427265313,New York,189575.6669616048,2.8888274349283187,0.043647730274673585,0,High
167349.7146114927,123801.69761974306,431094.7510161052,New York,189018.735432396,2.6969797417110892,-0.4323326209412765,0,High
156975.75416172438,139048.8899956447,450364.6293974743,New York,184115.962939054,2.749554278956327,0.01596071214104141,0,High
177466.49989935206,135352.4849296812,473377.13700130646,New York,184044.18491863803,3.170789296547833,-0.15217226959950123,0,High
160848.63487838343,137657.15347969212,444633.170793534,New York,194428.90278312945,2.7683713171974578,-0.012439227882454412,0,High
160383.54065345044,134901.28691050873,457590.4163657322,New York,202945.6073595176,2.813539342099858,-0.13820077393061708,0,High
165237.712166882,129657.9797509444,491187.3846660337,New York,185220.2773088498,3.0386188724177914,-0.3967329223409221,0,High
167076.072461476,123484.16376740592,440453.3403734647,New York,193397.3976345115,2.7423748179261014,-0.4675740232752313,0,High
171454.54660378178,138070.89789107582,469056.1483806045,New York,190525.20667067613,3.0722060426345723,-0.05495557051989252,0,High
153125.67119290697,131970.6419771801,460918.0952976877,New York,198359.26078376235,2.698093279497584,-0.2494770808552831,0,High
168190.15218236714,124830.0752557584,479429.0848116874,New York,190040.83012675072,2.985413409047255,-0.5241136784472719,0,High
159752.8710547405,141084.7599711054,496104.6642460568,New York,197633.4213921573,3.0609202447500334,-0.03417369477753669,0,High
158411.09849937016,134781.3737545979,479598.4426486993,New York,197888.7356682792,2.90398061904537,-0.2012264126899625,0,High
161387.7437597124,135627.0837989287,445686.63196782727,New York,185362.38017326395,2.7683055067705844,-0.08221136802270537,0,High
172066.82879824025,146181.22059036428,470085.538119916,New York,198050.1651530164,3.144673630264705,0.2120818366251354,0,High
168339.11317982044,132482.12301730216,480309.2368314152,New York,201133.1063603796,3.046592558121989,-0.2722374253318238,0,High
165053.10947556986,147607.721536463,409986.4825931552,New York,197002.5468528904,2.711997094484423,0.4116996196010525,0,High
162597.80000000002,151377.69,443898.63,California,191792.16,2.888364182460853,0.4463166881543888,0,High
163305.48308959886,149114.53789967284,445935.2541495923,California,180356.1559415952,2.8947370055467774,0.3663537468156642,0,High
160811.89171578872,154080.6338072704,476700.3870872959,California,188810.1550612088,3.0614900103482796,0.4488969731929969,0,High
156024.83594277472,147579.94889004718,464215.91729735245,California,193683.71656272083,2.871713803021892,0.2622687770964398,0,High
158290.90781699642,155262.55191884647,446053.25955796766,California,197365.51545022448,2.860523837318381,0.5665458102244236,0,High
156890.18557261745,148897.65305737942,435195.8164006402,California,183371.4392071636,2.7335594882636802,0.3826199289673319,0,High
165005.22527930455,153353.58720324564,444012.1228199077,California,190442.4008094532,2.9404890200332123,0.5133697341733996,0,High
151090.99155791177,148193.87413652378,436292.1047816327,California,187176.0452885125,2.644201951596999,0.35218103476613444,0,High
161286.56490558363,154435.90426735528,485762.3968736335,California,192796.63967433284,3.1216603617953838,0.43731336282700867,0,High
164691.65634603312,150814.21746206915,401311.634312266,California,191639.6053967287,2.680863283497878,0.5406137513713128,0,High
163087.46498149747,170021.68504493713,439629.19156340905,California,193527.1924838527,3.003830167932642,1.0768888410409765,0,High
162315.59713059105,142532.10091557112,469263.5040847981,California,196118.6058154304,2.962245876377388,0.08600717701427403,0,High
169028.8027159458,144494.64138890966,475033.5536398164,California,183726.2387000632,3.1128232177741264,0.14092762545036036,0,High
167368.8836183159,167956.99563413096,421913.7441154626,California,188533.81605709167,2.95780944771773,1.0578137752700898,0,High
163407.95463651238,147566.94092543254,409481.7613679322,California,192186.65523102225,2.6832440396230237,0.4104750707188256,0,High
153961.3876608153,154962.25640755196,423492.0721017408,California,200710.11802189887,2.6657334150473386,0.6125018931535741,0,High
156230.03689116857,148940.04358194437,461954.5889135904,California,184710.05622252624,2.871966980812423,0.31349690854031265,0,High
164447.0242477388,161271.30253217558,408220.64972151513,California,192854.49979611137,2.7891241434888716,0.8695580235844946,0,High
164710.61853013234,157295.21701594078,416444.5937031847,California,184194.56321970848,2.810802175876006,0.71620058885838,0,High
